angle_bin,TP,FP,FN,Precision,Recall
0–30,140,127,111,0.5243445692883895,0.5577689243027888
30–60,239,189,171,0.5584112149532711,0.5829268292682926
60–90,141,165,72,0.46078431372549017,0.6619718309859155
90–120,194,162,198,0.5449438202247191,0.49489795918367346
120–150,44,31,37,0.5866666666666667,0.5432098765432098
150–180,82,85,37,0.49101796407185627,0.6890756302521008
